city,group,month,volume,rating_mean,sentiment_norm_mean
Fukui,chinese_social,2024-09,1,,0.5
Fukui,chinese_social,2024-10,5,,0.5
Fukui,chinese_social,2024-11,1,,0.5
Fukui,chinese_social,2025-01,3,,0.666667
Fukui,chinese_social,2025-02,1,,0.5
Fukui,chinese_social,2025-03,5,,0.6
Fukui,chinese_social,2025-04,3,,0.5
Fukui,chinese_social,2025-05,5,,0.6
Fukui,chinese_social,2025-06,4,,0.625
Fukui,chinese_social,2025-07,4,,0.625
Fukui,chinese_social,2025-08,7,,0.571429
Fukui,chinese_social,2025-09,11,,0.5
Fukui,chinese_social,2025-10,6,,0.5
Fukui,chinese_social,2025-11,9,,0.555556
Fukui,chinese_social,2025-12,10,,0.55
Fukui,chinese_social,2026-01,6,,0.5
Fukui,chinese_social,2026-03,2,,0.75
Fukui,chinese_social,2026-04,4,,0.625
Fukui,chinese_social,2026-05,12,,0.416667
Fukui,chinese_social,2026-06,6,,0.5
Fukui,english,2024-06,1,5.0,
Fukui,english,2024-07,3,3.3333,
Fukui,english,2024-08,2,5.0,
Fukui,english,2024-09,1,4.0,
Fukui,english,2024-10,5,4.6,
Fukui,english,2024-11,3,3.3333,
Fukui,english,2024-12,3,5.0,
Fukui,english,2025-01,1,4.0,
Fukui,english,2025-02,1,3.0,
Fukui,english,2025-03,2,4.0,
Fukui,english,2025-04,8,4.0,
Fukui,english,2025-05,7,4.0,
Fukui,english,2025-06,7,4.5714,
Fukui,english,2025-07,3,4.6667,
Fukui,english,2025-08,6,4.5,
Fukui,english,2025-09,8,4.75,
Fukui,english,2025-10,8,5.0,
Fukui,english,2025-11,9,4.8889,
Fukui,english,2025-12,28,4.75,
Fukui,english,2026-01,16,4.3125,
Fukui,english,2026-02,10,4.4,
Fukui,english,2026-03,13,4.9231,
Fukui,english,2026-04,27,4.6296,
Fukui,english,2026-05,42,4.4762,
Fukui,japanese,2024-06,17,3.9412,
Fukui,japanese,2024-07,24,4.0,
Fukui,japanese,2024-08,49,4.2857,
Fukui,japanese,2024-09,39,3.7179,
Fukui,japanese,2024-10,25,4.2,
Fukui,japanese,2024-11,27,4.1481,
Fukui,japanese,2024-12,17,3.9412,
Fukui,japanese,2025-01,17,4.4706,
Fukui,japanese,2025-02,6,3.8333,
Fukui,japanese,2025-03,25,4.32,
Fukui,japanese,2025-04,36,4.3056,
Fukui,japanese,2025-05,57,4.2982,
Fukui,japanese,2025-06,37,4.2703,
Fukui,japanese,2025-07,45,4.0,
Fukui,japanese,2025-08,87,4.1379,
Fukui,japanese,2025-09,71,4.0282,
Fukui,japanese,2025-10,93,4.3226,
Fukui,japanese,2025-11,100,4.29,
Fukui,japanese,2025-12,81,4.3333,
Fukui,japanese,2026-01,64,4.2969,
Fukui,japanese,2026-02,75,4.3333,
Fukui,japanese,2026-03,112,4.3214,
Fukui,japanese,2026-04,233,4.3348,
Fukui,japanese,2026-05,463,4.324,
Kanazawa,english,2024-06,2,5.0,
Kanazawa,english,2024-07,1,2.0,
Kanazawa,english,2024-08,4,4.75,
Kanazawa,english,2024-09,2,4.5,
Kanazawa,english,2024-10,6,4.5,
Kanazawa,english,2024-11,6,4.3333,
Kanazawa,english,2024-12,8,4.875,
Kanazawa,english,2025-01,1,5.0,
Kanazawa,english,2025-02,7,3.2857,
Kanazawa,english,2025-03,7,4.4286,
Kanazawa,english,2025-04,8,4.5,
Kanazawa,english,2025-05,17,4.7059,
Kanazawa,english,2025-06,12,4.6667,
Kanazawa,english,2025-07,8,4.75,
Kanazawa,english,2025-08,9,4.3333,
Kanazawa,english,2025-09,10,4.9,
Kanazawa,english,2025-10,31,4.3871,
Kanazawa,english,2025-11,20,4.55,
Kanazawa,english,2025-12,28,4.75,
Kanazawa,english,2026-01,14,4.5714,
Kanazawa,english,2026-02,24,4.4167,
Kanazawa,english,2026-03,40,4.6,
Kanazawa,english,2026-04,86,4.2558,
Kanazawa,english,2026-05,185,4.3514,
Kanazawa,japanese,2024-06,10,4.0,
Kanazawa,japanese,2024-07,11,4.0909,
Kanazawa,japanese,2024-08,9,4.0,
Kanazawa,japanese,2024-09,10,4.5,
Kanazawa,japanese,2024-10,17,4.0,
Kanazawa,japanese,2024-11,8,4.25,
Kanazawa,japanese,2024-12,12,4.25,
Kanazawa,japanese,2025-01,11,4.1818,
Kanazawa,japanese,2025-02,8,4.5,
Kanazawa,japanese,2025-03,7,4.1429,
Kanazawa,japanese,2025-04,21,3.9048,
Kanazawa,japanese,2025-05,36,4.4444,
Kanazawa,japanese,2025-06,12,4.4167,
Kanazawa,japanese,2025-07,22,4.2273,
Kanazawa,japanese,2025-08,48,3.9792,
Kanazawa,japanese,2025-09,30,4.0667,
Kanazawa,japanese,2025-10,46,4.2609,
Kanazawa,japanese,2025-11,33,4.4545,
Kanazawa,japanese,2025-12,43,4.0698,
Kanazawa,japanese,2026-01,47,4.4894,
Kanazawa,japanese,2026-02,56,4.4286,
Kanazawa,japanese,2026-03,100,4.34,
Kanazawa,japanese,2026-04,140,4.2929,
Kanazawa,japanese,2026-05,313,4.1278,
Toyama,english,2024-08,1,5.0,
Toyama,english,2024-09,1,5.0,
Toyama,english,2024-11,1,5.0,
Toyama,english,2024-12,1,4.0,
Toyama,english,2025-02,2,5.0,
Toyama,english,2025-03,1,5.0,
Toyama,english,2025-04,7,4.2857,
Toyama,english,2025-05,7,5.0,
Toyama,english,2025-06,5,4.8,
Toyama,english,2025-07,5,4.8,
Toyama,english,2025-08,7,5.0,
Toyama,english,2025-09,4,4.75,
Toyama,english,2025-10,9,4.4444,
Toyama,english,2025-11,16,4.6875,
Toyama,english,2025-12,15,4.8,
Toyama,english,2026-01,7,4.2857,
Toyama,english,2026-02,4,5.0,
Toyama,english,2026-03,8,3.875,
Toyama,english,2026-04,20,4.6,
Toyama,english,2026-05,48,4.5833,
Toyama,japanese,2024-06,9,4.0,
Toyama,japanese,2024-07,12,4.5,
Toyama,japanese,2024-08,15,3.8,
Toyama,japanese,2024-09,12,4.25,
Toyama,japanese,2024-10,11,4.4545,
Toyama,japanese,2024-11,11,4.4545,
Toyama,japanese,2024-12,9,4.3333,
Toyama,japanese,2025-01,8,3.875,
Toyama,japanese,2025-02,2,4.5,
Toyama,japanese,2025-03,18,4.1111,
Toyama,japanese,2025-04,27,4.4074,
Toyama,japanese,2025-05,31,4.2258,
Toyama,japanese,2025-06,12,4.0833,
Toyama,japanese,2025-07,22,4.1364,
Toyama,japanese,2025-08,35,4.4571,
Toyama,japanese,2025-09,32,4.5312,
Toyama,japanese,2025-10,40,4.225,
Toyama,japanese,2025-11,61,4.1475,
Toyama,japanese,2025-12,68,4.3382,
Toyama,japanese,2026-01,49,4.2449,
Toyama,japanese,2026-02,75,4.48,
Toyama,japanese,2026-03,108,4.2778,
Toyama,japanese,2026-04,199,4.3266,
Toyama,japanese,2026-05,321,4.2928,
