city,poi_name,poi_category,sentence_text,review_id
Fukui,Fukui Dinosaur Museum,museum_cultural,"We took a dedicated bus from Fukui Station to get there, and came back with the train after visiting the not-so-far, amazing Echizen Daibutsu.",7c3eb0263772
Fukui,Fukui Dinosaur Museum,museum_cultural,The layout is made in a way that guides visitors seamlessly through each exhibit while providing ample space so it doesn’t seem crowded.,182a912325ca
Fukui,Fukui Dinosaur Museum,museum_cultural,There's also a free show every few hours and a baby room for young children to wind down and chill.,e7ce62ef4d50
Fukui,Fukui Castle,castle_historic,Opening hours are daily from 7am - 5pm.,c93e06f9e6c6
Fukui,Maruoka Castle,castle_historic,Total 1320 Yen and 3 hours for nothing.,ae042a8c5a90
Fukui,Maruoka Castle,castle_historic,"It’s not too crowded, so you can really enjoy the atmosphere.",1c92c59d7018
Fukui,Echizen Daibutsu,temple_shrine,"This place is bit of the tourist map, so it was less crowded, with mostly local worshipper at the temple.",2240480c63a6
Fukui,Fukui Prefectural Museum,museum_cultural,Spent about 1-1.5 hours here but you can definitely do more.,a291e6383744
Fukui,Heisenji Hakusan Shrine,temple_shrine,"Honestly, it feels far more meaningful than many of the more modern temples in the valley.",63ba6ac602e6
Fukui,Heisenji Hakusan Shrine,temple_shrine,The vehicle that runs here are on 4 hours interval so do make sure you wont miss it.,9978392789db
Fukui,Heisenji Hakusan Shrine,temple_shrine,"This doesn’t seem to be an active temple, the structures are all gracefully aged, and as far as I went you are not able to go inside any of the buildings.",9978392789db
Fukui,Echizen Ono Castle,castle_historic,"Even when the museum is closed, it is worth walking up to the castle.",e4e7dc73e2d9
Fukui,Tsuruga Red Brick Warehouse,castle_historic,It made me want to ride/see the old train lines.,3a2b15fd0648
Fukui,Oshima Island Fukui,nature_scenic,"Free parking, not so crowded, beautiful sunset",60236d78ac49
Fukui,Asuwa River Promenade,nature_scenic,Yes you need to go during cherry blossom season it’s the only reason to come here for a great experience I’ll tell you that been there three times so far worth it every time,dfd70b653f22
Fukui,Asuwa River Promenade,nature_scenic,"The area wasn’t crowded, so it was easy to take photos without people in the background.",2f025d90c258
Fukui,Takefu Knife Village,market_shopping,"Book ahead, wear clothes you don’t mind getting dirty and go.",db78e2accfc2
Fukui,Takefu Knife Village,market_shopping,"But if you don’t have any money like me, you can still enjoy the exhibitions and admire the hard work of the craftspeople.",7c84d5d81753
Kanazawa,Kenrokuen Garden,nature_scenic,Nice park that is well maintained and did not feel too busy.,c5337a61bbf0
Kanazawa,Kenrokuen Garden,nature_scenic,Would be better to use less gravel on the floor to help with wheelchair access,c5337a61bbf0
Kanazawa,Kenrokuen Garden,nature_scenic,"The view was amazing, they have toilet and tap water inside",fb8eff5581c4
Kanazawa,Kenrokuen Garden,nature_scenic,Beautiful garden that gets quite busy around 9:30am so I reccomend going early.,bde356c1904c
Kanazawa,Kenrokuen Garden,nature_scenic,"Went in the rain and it was amazing, highly recommend spending a few hours here and taking it all in.",ba976ff18f73
Kanazawa,Kenrokuen Garden,nature_scenic,I could have stayed there for hours.,7c2704d09e9d
Kanazawa,Kenrokuen Garden,nature_scenic,"Average garden, there are much more beautiful, less crowded gardens in Japan, especially smaller than this one",2d82dc3912f8
Kanazawa,Kenrokuen Garden,nature_scenic,It’s easy to spend hours here just walking slowly and taking everything in.,b2dced88e7db
Kanazawa,Kenrokuen Garden,nature_scenic,"Crowd was a bit heavy but the further in you venture, the more they dispersed.",71ee048442c0
Kanazawa,Higashi Chaya District,castle_historic,No queue.,b4e628e23fe1
Kanazawa,Higashi Chaya District,castle_historic,"Not too crowded as it was a pretty, nicely spread out district.",b4e628e23fe1
Kanazawa,Higashi Chaya District,castle_historic,It’s especially lovely in the morning or late afternoon when it’s less crowded and the light is perfect for photos.,55c1467fd5e5
Kanazawa,Higashi Chaya District,castle_historic,"The aromas coming from the food stalls and restaurants filled the entire street, making it hard to resist stopping every few minutes to try something new.",3e48d1d25968
Kanazawa,Higashi Chaya District,castle_historic,"With bright lights, and cheerful crowds, it feels like a place where you can easily spend several hours without realizing how time passes.",3e48d1d25968
Kanazawa,Higashi Chaya District,castle_historic,"Overall, it’s a fantastic destination if you want to enjoy a vibrant evening filled with good food, great shopping, and a lively crowd.",3e48d1d25968
Kanazawa,Kanazawa Castle Park,castle_historic,It’s not crowded and the grounds are very clean.,6c6819b441f3
Kanazawa,Kanazawa Castle Park,castle_historic,A good 1-2 hours to get around the site.,abcabfc0a39b
Kanazawa,Kanazawa Castle Park,castle_historic,Not too busy either.,abcabfc0a39b
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"Staff stated it only covers the museum's ""gray zones,"" which were also closed for Reno, forcing me to pay an extra 1,000 Yen for a standard ticket.",25569660e4d2
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Only informed at ticketing counter it’s closed till 23 May.,890d51b9cc49
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Suggest booking tickets for special exhibit (gives entry to all areas) in advance to skip the queue.,1f03c311af29
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Science person like me I think too far to understand on some artwork.,8498191d52a5
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"The space, which is modern and beautiful, wasn’t overly crowded when we went.",f162b91dda99
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"For the pool installation, you’ll have to sign up agita’s of time and wait for awhile.",ca25e813fcf8
Kanazawa,Nagamachi Samurai District,castle_historic,They have restroom for visitor.,b56d76329b0b
Kanazawa,Nagamachi Samurai District,castle_historic,"Not too busy neighbourhood, good for a nice stroll on a sunny day",814ed1ff77e6
Kanazawa,Nagamachi Samurai District,castle_historic,Busy but not too bad compared to popular areas like Kyoto/Tokyo ECT...,98db1250932c
Kanazawa,Nagamachi Samurai District,castle_historic,"•	Peaceful atmosphere – Much less crowded than major tourist hubs like Kyoto, making it ideal for slow exploration and photography.",1133853902e4
Kanazawa,Nagamachi Samurai District,castle_historic,"⸻

👍
•	Very walkable and compact
•	Great for history enthusiasts
•	Beautiful in all seasons (especially autumn and winter snow)
•	Close to other attractions like Kenrokuen Garden and Kanazawa Castle

👎
•	Small area — you can see most of it in about 30–60 minutes
•	Limited number of houses open to the public
•	may find it less lively compared to larger historic districts

⸻

🎟
•	Visit early morning for the best lighting and fewer people.",1133853902e4
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"You get a guided tour round the temple, seeing all the little hidey holes, trap doors, false stairs etc, which is why it is known as ninja temple.",12193ce3f0c1
Kanazawa,Myoryuji Ninja Temple,temple_shrine,You need to be back 10 minutes before your reserved tour time and can wait on the benches outside.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,Once inside you will be asked to wait in the main hall and given a binder of the tour in whichever language you prefer.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,Note the page numbers and wait for a tour guide to retrieve you in smaller groups of about 10-12 people and then they'll take you to see all the trapdoors and secret crawlspaces.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"The only negative feedback I would have is that when we arrived it felt as if we were too late for the tour and that they were closing up so felt rushed, however when our tour finished we saw so many other people waiting to be shown round so im unsure with the hesitation we received.",582b10561aea
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"We just turned up and waited, tours every 30 minutes so not long and you are given information to read while waiting as tours are in Japanese.",ff48a255a915
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"You cannot take any pictures, but then again, you’re gonna be busy taking in all the cool-ness.",d4fd36a694de
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"It helped to have a printed guide in other languages but hard to read, walk and see the nuances quickly enough.",719a8743b62f
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"I would suggest if you do not have a japanese phone line, just head over and plan to arrive a few minutes before the hour.",0af9a46f7ad9
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"We used the intercom at the entrance and were able to secure a spot with about a 20-minute wait, which worked out well.",c3669d40beca
Kanazawa,Omicho Market,market_shopping,"Stalls start cleaning up and closing around 3:30/4 but some of the eateries are open later, into dinnertime.",e1d520ad91fc
Kanazawa,Omicho Market,market_shopping,Worth coming - lesser crowd and much fresher seafood compared to the Tsukiji Market @ Tokyo.,366374dd8b4e
Kanazawa,Omicho Market,market_shopping,Not expensive.,11ef4413e780
Kanazawa,Omicho Market,market_shopping,"Some are restaurant where you can eat large bowls of different fish but it’s funnier to stop at multiple stale and choose what you want to eat, don’t be afraid of the waiting line it’s going super fast lol.",26f4b1449873
Kanazawa,Omicho Market,market_shopping,Since it’s a small closed area the smell can be disturbing at first but you get used to it.,26f4b1449873
Kanazawa,Omicho Market,market_shopping,We had wagyu beef skewers then croquettes from a popular place with big queue but moved quickly,2049ffbdb8de
Kanazawa,Omicho Market,market_shopping,"While busy at peak times and sometimes a little touristy, most travellers find it a worthwhile and memorable stop for sampling regional flavours and exploring a lively local food hub.",d38a0aa56c19
Kanazawa,Omicho Market,market_shopping,"Was busy at noon in November with fellow tourists, but plenty of locals as well.",67a4fc1d13e8
Kanazawa,Omicho Market,market_shopping,"We picked the one with the shortest queue and had oysters, botan ebi, dogfish (all from Kanazawa) and some uni and maguro as well.",f0e2ce929256
Kanazawa,Oyama Shrine,temple_shrine,We didn’t pay for entry but the park was still open to public after the closing hours.,82775fa9c987
Kanazawa,Nishi Chaya District,castle_historic,"And so you can take photos of all these beautiful cultural architects, without awkwardly including crowded human figures 😆",736c000ae451
Kanazawa,Kazuemachi Chaya District,castle_historic,"Worth visiting if you are in the region, but not necessarily a destination to travel long hours for.",05089642dc47
Kanazawa,Kazuemachi Chaya District,castle_historic,Great for photo but lots of shops are closed when we were here late in the afternoon,a5ad9aac673e
Kanazawa,Kazuemachi Chaya District,castle_historic,"￼

⸻

👍 What People Like

✅ Less crowded and relaxed compared to other tourist hotspots in Kanazawa.",aaeb022c2024
Kanazawa,Kazuemachi Chaya District,castle_historic,"￼
❗ Limited public access inside buildings compared to Higashi Chaya.",aaeb022c2024
Kanazawa,D.T. Suzuki Museum,museum_cultural,"The entire architecture is incredibly thoughtful, featuring clean lines and seamless connecting gardens.",20bd94b73d57
Kanazawa,D.T. Suzuki Museum,museum_cultural,Exquisite experience and not far from the spectacular Kanazawa castle and gardens.,59fe19bf30dd
Kanazawa,D.T. Suzuki Museum,museum_cultural,It was not expensive and everything was quite relaxing and tidy though.,67df09f2fd8e
Kanazawa,D.T. Suzuki Museum,museum_cultural,I could’ve spent hours in the library space and next to the water.,8ced027b6143
Kanazawa,Ishikawa Prefectural Museum of Art,museum_cultural,Museum exhibitions temporarily closed 14-18 April but Google was not updated as temporarily closed by the museum.,6c9a134c85cb
Kanazawa,Ishikawa Prefectural Museum of Art,museum_cultural,Easily can spend hours here.,acc1feed06b8
Kanazawa,Ishikawa Prefectural Museum of Art,museum_cultural,"Worth the trek to visit, not crowded at all.",acc1feed06b8
Kanazawa,Ishikawa Prefectural Museum of Art,museum_cultural,I think they have far too many photo bans on various works.,9b8b5ae5f29c
Kanazawa,Ishikawa Prefectural Museum of Art,museum_cultural,Cafe is spectacular but i just had a coffee as the cakes looked far to rich for my taste.,9b8b5ae5f29c
Kanazawa,Honda Museum,museum_cultural,Limited exhibit but still interesting.,4363326bb860
Kanazawa,Ishikawa Prefectural History Museum,museum_cultural,"It really wasn't that busy when I visited, even though there was a school trip visit too.",02df8fd45fa6
Kanazawa,Nomura Samurai House,castle_historic,"Beautiful house & especially garden, but I have to remove one star because they do a very poor job of managing the numbers coming in, especially large tour groups of 6+ which block the whole place up and make it difficult to get around.",214b0ec9614d
Kanazawa,Nomura Samurai House,castle_historic,Large group sizes should be limited or required to pre-book to allow better management of your experience in such a small space.,214b0ec9614d
Kanazawa,Nomura Samurai House,castle_historic,Smell of feet is horrendous .,47d5cfb4e534
Kanazawa,Nomura Samurai House,castle_historic,But nil point for crowd management!,240233d235a1
Kanazawa,Nomura Samurai House,castle_historic,It was a very peaceful experience and not too busy when we went.,08b60ac609d4
Kanazawa,Nomura Samurai House,castle_historic,"But the hallways are narrow, which makes walking difficult at times.",8b6e1846de80
Kanazawa,Kanazawa Yasue Gold Leaf Museum,museum_cultural,To see how hard it is to make it and the huge amount of work and time it's intriguing.,9fd5a66f2f0d
Kanazawa,Kanazawa Yasue Gold Leaf Museum,museum_cultural,"Much more entertaining, free, and you asked me find some things you want to buy that aren't too expensive!",853a24347e58
Kanazawa,Kanazawa Yasue Gold Leaf Museum,museum_cultural,Staff were nice and it was not crowded.,f07f20b455c9
Kanazawa,Kanazawa Yasue Gold Leaf Museum,museum_cultural,Check out the bathroom for a cute surprise,f07f20b455c9
Kanazawa,Shiinoki Cultural Complex,museum_cultural,"We thank the kind gentleman who showed us around the inner parts, such as the side stairs, steels and earthquake protective system.",53f653a0ca29
Kanazawa,Kanazawa Phonograph Museum,museum_cultural,"The staff are very friendly and professional, and the exhibition went far beyond my expectations.",362b6b931732
Kanazawa,Kanazawa Phonograph Museum,museum_cultural,"We watched the demonstration, which I worried would be hard to follow for 30 mins without speaking Japanese, but they provided written translations to follow along so it was all very interesting and time very well spent!",c7e341c65b19
Kanazawa,Kanazawa Phonograph Museum,museum_cultural,Closed even though it says everywhere that is open.,1fdd1794f085
Kanazawa,Kanazawa Phonograph Museum,museum_cultural,"Spent a couple hours at the museum first going through the exhibits, then listening to some vinyl, finally sitting through a great presentation where the docent played actual phonographs.",117a350d75d3
Kanazawa,Seison-kaku Villa,castle_historic,"Despite going on a weekend, the house was not overly crowded.",651491f8d506
Kanazawa,Kanazawa Station Tsuzumi Gate,castle_historic,"The gate view is nice but the station has nothing much to offers, it's busy, there is a shopping mall next to it where youay shop some clothing a d good food.",d2a615a5d042
Toyama,Toyama Castle,castle_historic,Nothing particularly out if the ordinary for a Japanese castle but not crowded and only ten or so minutes from Toyama station.,ed4fc250f89d
Toyama,Toyama Castle,castle_historic,"The weather was perfect—blue skies, gentle breeze, and not a single crowd in sight.",b5a4c3ee2325
Toyama,TAD Toyama Art Museum,museum_cultural,Between November to eatly June it is snow- capped and standing far behind the city scape like a wide Japanese byobu or tall screen.,dcae99f7d2d1
Toyama,TAD Toyama Art Museum,museum_cultural,Best time to visit during golden hours to watch the best sunset in the area.,7c66091459de
Toyama,Tateyama Kurobe Alpine Route,food_dining,We were hushed and rushed to go from 2:10pm in 4 hours.,393ba83cb997
Toyama,Tateyama Kurobe Alpine Route,food_dining,I feel so humiliated and the chaotic mess of people got stuck waiting at all the stations was a joke.,393ba83cb997
Toyama,Tateyama Kurobe Alpine Route,food_dining,"We didn't know service was delayed until we were at Tateyama, to late to back out as luggage was already shipped.",393ba83cb997
Toyama,Tateyama Kurobe Alpine Route,food_dining,A tour guide mentioned the schedule was delayed very often.,393ba83cb997
Toyama,Tateyama Kurobe Alpine Route,food_dining,"Must visit and ensure you queue for the individual line, don’t mix with the tour group",ddf36a4d1f68
Toyama,Zuiryuji Temple,temple_shrine,Quite calm and not much crowded.,68769c999754
Toyama,Takaoka Daibutsu,temple_shrine,This is a massive Buddha statue located not far from the Takaoka station.,92b272c0be67
Toyama,Takaoka Daibutsu,temple_shrine,A great escape from the hustle and bustle of the busy city centre.,d3e253176814
Toyama,Kurobe Dam,nature_scenic,"If youre travelling in small numbers best to come here as early as possible, pack your own bento, and go down during lunch hours while the masses are having lunch at the restaurant.",68a32f74edc2
Toyama,Tonami Tulip Park,nature_scenic,"The parking lines can be brutal, so stick to the bus or your own two feet to maximize your time among the flowers!",1127c24cb952
Toyama,Tonami Tulip Park,nature_scenic,"​Accessibility: The park is inclusive, offering wheelchair rentals at the entrance.",1127c24cb952
Toyama,Tonami Tulip Park,nature_scenic,"Be prepared for a 30-minute wait during the fair, but the panoramic view is worth every second.",1127c24cb952
Toyama,Fugan Canal Kansui Park,nature_scenic,We had 2 hours to kill but felt that after 20-30min we had had enough.,647b62206420
Toyama,Fugan Canal Kansui Park,nature_scenic,"Even though the snow-covered stairs made it a bit tricky to walk, it was totally worth heading up to the bridge to take in the scenery of the canal park.",1f543ca2a687
Toyama,Fugan Canal Kansui Park,nature_scenic,"Beautiful park to walk around, just extremely busy!",3985d563c901
Toyama,Fugan Canal Kansui Park,nature_scenic,"With its wide canal, gently curving boardwalks, and well-maintained lawns, the park feels spacious without being empty, and lively without being crowded.",3cf41f60e71a
Toyama,Fugan Canal Kansui Park,nature_scenic,"Trees line the paths, and the open grassy areas provide plenty of space to sit, rest, or simply enjoy the view.",3cf41f60e71a
Toyama,Fugan Canal Kansui Park,nature_scenic,"You can go on top of the 2 bridge tower, one of them has a lift while the other you have to climb stairs.",fdf5ccb44313
Toyama,Hokuriku Minka Museum,museum_cultural,Not hard to find with google maps.,8ace67f30529
Toyama,Hokuriku Minka Museum,museum_cultural,This has to be the best open air museum so far.,de3cc9643df1
Toyama,Hokuriku Minka Museum,museum_cultural,The crowd was very calm and you could really take your time with each house.,de3cc9643df1
Toyama,Hokuriku Minka Museum,museum_cultural,Anyone with an interest in cultural history or architecture will absolutely love this “museum.” A pleasant visit worth at least 2 hours.,59037108ba4c
Toyama,Hokuriku Minka Museum,museum_cultural,"For foreign visitors wondering whether to visit this museum, I would suggest that you *first* visit the Edo Tokyo Open Air Architectural Museum (located on the west Chuo line, past Kichijoji -- a similar distance from Shinjuku) *before* seeing this one.",5c872f7b6423
Toyama,Hokuriku Minka Museum,museum_cultural,"But by comparison, the Edo Tokyo museum has a far greater variety of houses, especially of the classic Showa era, that are more interesting in my view.",5c872f7b6423
Toyama,Hokuriku Minka Museum,museum_cultural,"But for those with more limited time, I would suggest the above first.",5c872f7b6423
Toyama,Hokuriku Minka Museum,museum_cultural,"We arrived at 11:00 AM and wandered around until closing at 4:30 PM, but even then, we couldn't cover all the grounds!",f2eb26a89c3f
Toyama,Hokuriku Minka Museum,museum_cultural,Amazing that there’s such a nice place just half an hour from the Yamanote line and so few people seem to go there.,8dc2b2dc82b2
Toyama,Hokuriku Minka Museum,museum_cultural,We were travelling with a wheelchair which was a little tricky to get around.,e3bd4ebb00c2
Toyama,Hokuriku Minka Museum,museum_cultural,Its a great spot and not too busy,0ff702259881
Toyama,Imizu Shrine,temple_shrine,"- Goshuin (御朱印): The shrine offers beautifully designed, often seasonal, goshuin (shrine stamps), including limited-edition kirie (cut-paper) versions that are popular among collectors.",554cabfdafad
Toyama,Kitokito Market,food_dining,"From Toyama station, it took us a train ride, a Doraemon tram ride on the Manyo Line and a 5 minute walk to get to this place on a cold cold day.",fc2f9fa95b46
Toyama,Kureha Hills,nature_scenic,Good view and a toilet break,224f468e3a02
