gold_id,text,transport_access,wayfinding_signage,english_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,no_friction,notes
gold_0001,バス停から7分くらいと近いから。。夕食がない。。夕食がない。。ウニ昆布かな、おいしいです。。何でもおいしいです。。朝食が良いから。。歴史を感じるから。,,,,,,,,,,,,,,
gold_0002,小松からの空港バスの支払いに交通系ICなどが使えなかった。清潔感や、快適感は最高ですが、レストラン、お土産屋、コンビニ雑貨など寂しくて〜。せめて最終便まで、芝寿司くらいは頑張って欲しい。。レストランの復活、ラウンジの地元感ある飲み物販売などお願いします。安さもお願いしたいけど、京都に負けない上品さを忘れずにお願いします。お土産の種類(特に生もの、生スイーツ含む)も少なく、レストランも少なく、お持ち帰り寿司も売り切れが早い。食事が安くて美味しい,,,,,,,,,,,,,,
gold_0003,休憩スポットとしても利用できるため。金沢おでんや海産物が美味しいのでリピートしてしまいますね。。石川県の観光スポットがパンフレットなどで情報を拾いやすくなっているため。観光スポットが多く、写真映えするので。,,,,,,,,,,,,,,
gold_0004,飲食店で昼に１時間待っが御飯がないので申し訳ないと言われた。他に5組位いた皆気分を害していた。,,,,,,,,,,,,,,
gold_0005,清潔感があって良い。街が小さいためか店が圧倒的に少なく、平日の夜にも関わらず満席で入店できなかった店が複数あった。飲食店をもう少し増やして欲しい、敦賀らしいお店を。マリンスポーツの際の駐車場の確保（路上駐車がシーズンは多い）ついでに訪れた人が土産でお金を落としていくような仕組みがあるとお互い良い気がする。美味しい魚介を食べることができた,,,,,,,,,,,,,,
gold_0006,"遊ぶ、食べる、買い物が一つのエリアにあるので楽しい。十分だと思います。のんびりしていて大好きな県です！
また近いうちに行きます！。こども家族館、子どもが一日遊べる
道の駅、特産品がたくさんあって楽しい",,,,,,,,,,,,,,
gold_0007,食べ物がおいしいし、復興に向けて応援したい。子供が喜んでいた。閉店している店や、夜のみの営業のお店があるので子連れで昼営業のお店がわかりやすいとありがたいです。穴場だとおもう,,,,,,,,,,,,,,
gold_0008,"道中の案内もわかりやすかった。
駐車場も広くてよい。。飲食が割高に感じた。ソフトドリンクの有り無しを選べると良い。",,,,,,,,,,,,,,
gold_0009,空いていた。トイレもきれい。。景色良く涼しかった。シャトルバス。リフトもケーブルカーも選べる,,,,,,,,,,,,,,
gold_0010,食事するところメニューが、ほぼ全て売り切れで食べれなかった,,,,,,,,,,,,,,
gold_0011,バスの乗車の際に交通系ICが使えないのは不便でした。周りの観光客も困惑しており、バスの運転手さんもいちいち案内しなければいけないのは効率が悪いなーと。改善されたらより良いと思います！。ご飯が美味しいから,,,,,,,,,,,,,,
gold_0012,"雨にも濡れず目的地につくので。食べ物も美味しいかったし店員の対応も良かった。船が出なかったのでタワーの所で船に乗った時の景色をビデオで流してほしかった。海鮮が美味しくて良かった

敦賀から新幹線で近く大阪府から便利で又来ようと思った。お店の対応が明るくて良かった",,,,,,,,,,,,,,
gold_0013,"駐車場が、分かりやすくて広い。綺麗で清潔感があり
ずっといたいくらいでした。全体的にオシャレ感はあるのだけど
品数が少ない
福井は海があるのだから
もっと海産物の
加工したものとか
期待したい。
改善すれば
絶対にみんなが行きたくなる
道の駅になるはずです

福井が大好きで今年に入って
5回目です
また訪問します
期待してますよ！！
がんばれー！！。何度もいいますが
こういうアンケートを
しっかり見ていただき
改善したら
素晴らしい道の駅になりますよ！
お店が狭いから仕方ないかもだけど
日本海の物を求めている
愛知県民たくさんいます


茶飯も頂きました。
初めての味で感動しました
おしゃれより、
素朴な地域のものが
1番ですね！。品数がもっとあったらたのしい

地元野菜が少なかった",,,,,,,,,,,,,,
gold_0014,駐車場の場所がわかりにくかった,,,,,,,,,,,,,,
gold_0015,駐車場ご狭い。工事途中だが恐竜関係のオブジェが多く完成が楽しみです,,,,,,,,,,,,,,
gold_0016,エンゼルランドふくいでは様々な体験ができ、親子で楽しめました。宿泊した休暇村も、のんびり過ごせてよかったです。。あわら市のトレジャーハンティング(宝石探し)にも参加し、子どもが大喜びでした。。のんびり、ゆったりとした空気感が大きな魅力だと思いました。豊かな自然を満喫できたり、さまざまな人とふれあえたりする体験施設がたくさんあるとうれしいです。お土産は、今回はあまりゆっくり見られなかったのですが、ある程度日持ちして、手軽に食べられるもの(ビスケットなど)や調味料(レシピ付き)も良いかと思います。。景色がとても美しく、出会う方々も親切だったため。,,,,,,,,,,,,,,
gold_0017,空いている。綺麗,,,,,,,,,,,,,,
gold_0018,景観が素晴らしいご飯最高。トイレが汚かった。飲食店が充実していて助かります,,,,,,,,,,,,,,
gold_0019,金沢市内と空港が直結しており、安心で便利。地方空港で便数も少ないのでこんなものと思っている。夕方の便に搭乗する前に、ちょっと小腹を満たせる飲食が出来ると良いが、現状は平日は15時にはクローズしていて寂しいていて。近江市場がかなり期待外れ。近隣のショッピング施設の食料品売り場で買い物した。北鉄バスのフリー乗車券をアプリで購入したが通信状態により度々エラー表示となり焦った。外国の方が同様の状態になったようで、降りる際、バス運転手の対応が余りに事務的で後ろにいた私達夫婦が不快に感じたほどの酷い対応だった。せめて「降りて下さい」位英語で丁寧に笑顔で対応出来ないものですかね。。お土産品目や軽食提供が少ないが、地方空港だし仕方ないと思っている。空港から金沢市内へ速く移動でき、金沢市内だけでも十分に楽しめる,,,,,,,,,,,,,,
gold_0020,小洒落たお土産では無く、地元でしか買えないものが欲しかった。各方面からの道路案内標識が不親切。地元感が感じられない、他の道の駅と変わらない。せっかく、自然や地元の食が充実しているのに、素朴感をもっと出した方が良い。最近の道の駅はお土産で、地元野菜などの新鮮で安い商品が無い、何度も足を運ぶ所では無い,,,,,,,,,,,,,,
gold_0021,運行本数が多く無いが、快適に移動できた。新幹線の駅直結でこのような施設はありがたい。特になし。オシャレなお土産が売っていた。インバウンド観光客が多過ぎて、京都かと思った。,,,,,,,,,,,,,,
gold_0022,恐竜バス電車券がとてもよかった。トイレも綺麗で、レストランもとてもよかった。映画もあり、見どころ満載で楽しかった。HPがめっちゃ分かりにくいのだけ何とかしてほしい。楽しそうな体験も、こっちに来てからようやく全貌が見えて、事前予約してこればよかったと後悔。,,,,,,,,,,,,,,
gold_0023,段差が多いかな？。海鮮料理。海鮮料理が美味しかった,,,,,,,,,,,,,,
gold_0024,小松駅から小松空港が近くて便利。とくに不満がらないから。新しいグッズをどんどん作ってほしい。動物の紹介などをする時間があるとよい。。特になし。動物に癒された。いしかわ動物園、魅力的な動物がいるから,,,,,,,,,,,,,,
gold_0025,金沢駅でバスの案内表示が、非常に分かり安いと思います。。思った以上に、子供と一緒に楽しめました。見どころが多く、適度に椅子も配置されていて、ゆっくり過ごす事が出来ました。美味しいお店が多く、また来たいと思います。。映像やクイズなど、子ども連れでも楽しむ事が出来ました。。金沢駅から観光がとても便利に見て回ることができ、楽しく過ごす事が出来ました。,,,,,,,,,,,,,,
gold_0026,"犬連れてる人とそうでない人の外での食べるところが一緒で、犬嫌いの人は嫌そうな感じで避けてた。
近ぅを通りだけで吠える犬もいるので不愉快だったので、スペース分けて欲しい。。お土産などのレジが混んでくるとどうしても売り場に伸びてくるのでレジの待ち列の対応をもう少ししてほしい",,,,,,,,,,,,,,
gold_0027,シンプルながら飼育されている魚の種類や規模。近江町市場の価格がインバウンド価格になっているように感じる、区別化等で国内の観光客にフォーカスしてくれると個人的には嬉しい。他の観光地に比べて人が少ないのと、それに反して食事のおいしさやみるところの多さ、特に神社好きにも勧められるポイントが多いから満足度が高い,,,,,,,,,,,,,,
gold_0028,地場の農産物が並んでいたこと。レストランの職員の方々のチームワークがよい。,,,,,,,,,,,,,,
gold_0029,たのしかった。特になし。快適。電車が快適だから薦めたいとかんじた,,,,,,,,,,,,,,
gold_0030,胡桃羽二重餅がすぐに売り切れてしまって買えませんでした。。。駅前に徒歩で行ける範囲で食事やお土産も充実していたので,,,,,,,,,,,,,,
gold_0031,時間が足り無くてすべてを回りきれなかったのですが、昔ながらの造りが広がった風景が大好きです。。朝食目的で決めましたが、夜中に食べた夜泣きそばなどもとても満足致しました。ありがとうございました。また来たいです。。特になし。購入したお土産すべてお味のレベルが高くてまたリピートしたいと思ったものが多かったです。。海鮮やお茶系、お土産物など目につくものがみんなおいしかった。,,,,,,,,,,,,,,
gold_0032,ドライブの風景がきれい,,,,,,,,,,,,,,
gold_0033,施設も新しく、景観もきれいな景観で涼やかで気持ちがいい,,,,,,,,,,,,,,
gold_0034,鬼面まんじゅうが売り切れていて残念でした。。羽二重もち、大野の芋きんつばなど、福井セットお土産がほしいです。。道の駅あわら　のスタッフさんの接客がすばらしいです。,,,,,,,,,,,,,,
gold_0035,"ツアーバスだったので。お城の階段(中)、が上れなかった。
年を取ったのでざんねんだったが、無理をするよりは。
城の回りのからの景色も、素晴らしかったです。。手紙の博物館は、良かったです。。新鮮な魚介類と、日本酒が、楽しみです。。風邪が強く、雨も降っていてボロボロになりながらの観光だったが、回りの方々の思いやりの言葉がけに暖かい感じかして良かった。
丸岡は、物ではなく者、人の心が売りだと思いました。
ありがとうございます。",,,,,,,,,,,,,,
gold_0036,街歩き楽しい！。雪景色がいい！。日本酒が美味しい！。楽しい！！,,,,,,,,,,,,,,
gold_0037,営業時間の終わりがはやい,,,,,,,,,,,,,,
gold_0038,車の駐車場が停める所が少ない,,,,,,,,,,,,,,
gold_0039,街並みがとても綺麗。人が親切で優しい,,,,,,,,,,,,,,
gold_0040,とても良い景色とのんびり走れる道路、一部崩れた為の修復工事があったが気分転換に素晴らしいところ。この後、温泉に入って帰ります。。良く整備されており、走り易い。もう少しだけ立ち寄れるところがわかりやすくあると有難たい。海鮮やお酒が豊富なので楽しみ。ただそばはアレルギーの為食べられない。。ファミリーマートで案外良い地酒や物産が手に入った,,,,,,,,,,,,,,
gold_0041,"会社へ持って行くようなお土産が少ない。お土産の展示方法、充実感がない。
ただ、並べてるだけで、そのお土産の美味しさが伝わらない。。なんか地味なモノが多い。",,,,,,,,,,,,,,
gold_0042,インフォメーションがいい。インフォメーションのおねいさんが、とても優しく色々教えてくれた,,,,,,,,,,,,,,
gold_0043,交通の便が非常によかった。トイレなど、必要なタイミングで都度ある状況。カニが良い値段したので、気持ちもう少し安いと嬉しいです。。お土産や食事のクオリティが良い。ご飯がおいしく、お皿なども素敵です,,,,,,,,,,,,,,
gold_0044,本数が少ない。とてもきれいな設備でした,,,,,,,,,,,,,,
gold_0045,公園､資料館、駐車場が近く、利用しやすい。全体としてもまとまった印象。。ツアーを予定で周りをゆっくり歩けませんでした。もし車で出かけた時、近くの飲食店等の情報があると助かるかも。。蕎麦を食べに行きたい。。内容が良く考えられており、興味深かかった。映像等に英語の併記があったのも文化の情報を広く伝える意欲が感じられた。,,,,,,,,,,,,,,
gold_0046,車も少なく景色も良いので、ドライブに最高!。蕎麦が美味しい。美味しい物と温泉がいっぱいあるから～大好き。いつも道の駅名田庄でトイレ休憩とお買い物するのが楽しみなので～,,,,,,,,,,,,,,
gold_0047,お盆明けのお休みをとる飲食店がいくつかあった。お盆明けに観光することがなかったので、社会のことをしる良い勉強となった。,,,,,,,,,,,,,,
gold_0048,車が清潔。清潔なため。価格が高い。海鮮物の価格が高い。価格が高い。食事が美味しい,,,,,,,,,,,,,,
gold_0049,プールが楽しかった。トイレが少なく順番待ちに時間を要した。ランチ美味しい。蟹美味しい。ランチ美味しかった。蟹が美味しい,,,,,,,,,,,,,,
gold_0050,あまり待たずに移動できた。恐竜博物館の体験展示はとても面白かった。常設展はもう少し的を絞ってほしかった。周りに飲食店がないため、昼時のレストランの混雑が大きい。もう少し食事の選択肢がほしい,,,,,,,,,,,,,,
gold_0051,レストランが少ない。郷土料理のお店。特になし。お土産店が豊富,,,,,,,,,,,,,,
gold_0052,小刻みにきてくれるから待ち時間が少ない。休める場所もあり、パンフレットなどが多かった。特になし。新鮮な海鮮。スタッフの対応がよかった。まだ来たばかりなのでなし,,,,,,,,,,,,,,
gold_0053,本数が少ない。食べ物が美味しかった,,,,,,,,,,,,,,
gold_0054,"設備や展示は良かった
ただスタッフさんがやや慣れてなさそうで、券売順番待ちをしている中横入りも注意しない、事前予約提示が必要か案内もない、などの対応に不安を感じた",,,,,,,,,,,,,,
gold_0055,ワイモバイルゆーざlですが、圏外になるのがこまる。品揃えが少ない,,,,,,,,,,,,,,
gold_0056,"三方五湖へのアクセスがタクシーのみだったので、福井タクシー券を利用しました。
大変有り難かったです(^_^)。昼食を取ろうと思いましたが、駅周辺では見つけられず、やむなく欠食。
ウナギが名物と情報誌でみたので残念でした。。歴史（一乗谷城など）　伝統工芸（漆器、和紙）食　私好みで満足しています。
恐竜博物館には縁がなく今回は休館中。
また　次回こそ！！。宿泊施設の応対　料理に満足しました。",,,,,,,,,,,,,,
gold_0057,"気ままに旅行を楽しめる。
琵琶湖を右に見ながら車を走らせるのが好き。
琵琶湖西縦貫道路ができてから、早く福井に行けるから。。何もない殺風景さ。バリアフリー。〔ツアーきゃくさんの1人が、歩きつらくされていて、遊覧船練り場になかなか辿り着けなかった〕。あじさい、あじさい、あじさい、、。
どこに行っても、咲かせてらっしゃる。
でも、もっとビジュアルよくアレンジされたら、と、思います。。東尋坊の遊覧船に、団体ツアー客のかたがっ、ご一緒できて、賑やかだった。",,,,,,,,,,,,,,
gold_0058,景色も温泉も良かったです！。夕方になるとお店が閉店してほぼ真っ暗なこと。。最高の温泉が格安で利用させてもらえたこと。,,,,,,,,,,,,,,
gold_0059,加賀温泉に泊まったのですが、石川県からのアクセスがよかったです。。道の駅「蓮如の里あわら」の施設が新しく綺麗でした。。飲食店が少ない印象です。湖のアクティビティがあれば家族連れで楽しめそうです。。メガネが好きなので、鯖江に行ってみようかと思います。。商品のチョイスがよかったです。,,,,,,,,,,,,,,
gold_0060,総体的に全て満足。夕食、朝食とも豪華。金沢の飲食は値段が高い。夕食、温泉。ホテルの食事と露天風呂,,,,,,,,,,,,,,
gold_0061,早くて快適。自転車旅が快適にできるように、サイクルステーションやマップや案内表示 ブルーラインなどを整備してほしいです。海岸沿いを走ってみたいです。,,,,,,,,,,,,,,
gold_0062,移動には困らなかったから料金が高かった。海鮮。他県に比べ宿代が比較的安かった。,,,,,,,,,,,,,,
gold_0063,夜は店が少なかった。料理、お酒とたいへん美味しかった。ソースカツ丼、おろし蕎麦など福井らしい食事ができた,,,,,,,,,,,,,,
gold_0064,飛行機の便数が少ない。出張の余った時間などでも気軽に楽しめるモデルルートがあれば知りたい。温泉に入れなかったのが心残り。小さな空港だが金沢らしいお土産がたくさん売っていた。食べ物が美味しいし観光地も多い,,,,,,,,,,,,,,
gold_0065,金沢市内から移動にそこまで時間がかからなかった。。施設はキレイで、料金も安い。お土産も充実していた。。強いて言うなら、料金体系。細かく体験まで含めて、1日All入場・体験チケットみたいなものがあると、細々と支払いをしなくて良いので助かる。子供が複数いるとなかなか入口に戻ったりが難しいので、、。お土産品も揃っていて、とても良かったです！。食は、お寿司と和菓子がダントツに美味しくて、なかなか他で食べられないレベル。お土産も、和菓子系がとにかく喜ばれる。パッケージも美しいものが多い。アクティビティについても、金沢市外にも色々な施設ができてきて、子連れ旅行で飽きなくなってきたように思います。。新幹線について色々体験できるだけでなく、こどもの遊び場があり、意外と子供達は博物館系はすぐ飽きるので、とても助かった。。宿の方や、施設の方など、話しかけてきてくれて、人が温かい。,,,,,,,,,,,,,,
gold_0066,新幹線便利ですね。安かった。もっとバリエーションあってもいい。白山市をもっと活用して！札幌市はロープウェイを活用してる獅子吼高原があるじゃないか。北陸応援割りを使えたから。金沢駅　綺麗かっこいい,,,,,,,,,,,,,,
gold_0067,特になし。店員の対応,,,,,,,,,,,,,,
gold_0068,本数が少ない。改修工事中で入れない建物があったので。それ以外はとても満足。。とてもよい水族館なのでたくさんの人に来てほしい。自家用車がないと行くのが大変。。これからも蓮ノ空女学院スクールアイドルクラブとコラボを続けて欲しい。また行きます。。改修工事中で入れない建物があったので。それ以外はとても満足。。のとじま水族館の食堂がおいしかったし、食堂のおばちゃんがやさしかった。石川県の食べ物はどれも美味しい。,,,,,,,,,,,,,,
gold_0069,駐車場が狭い。駐車できるまでかなり時間がかかった。。駐車場がいつもいっぱい。。土産物、接客態度も素晴らしいが上手い店が偏っている。すずやや丸三は素晴らしいが他はいまいち。もっと名物店が欲しいところ。。せっかく新幹線が敦賀まで来たのだから観光名物をもっと作ってほしい。ふるさと納税に名物を貼り付けるのも面白いかも。今後の活躍に期待します。。美味しい濃い茶を駅前で飲んだ。専門店も珍しいが休憩場所も広くゆったり楽しめた。,,,,,,,,,,,,,,
gold_0070,"ソースカツ丼など美味しいものを頂くことが出来た。。食事出来るところが少ない。
寒いので鍋を頂けるところが少ない。。雪道なので、ある程度仕方ないと思いますが歩きにくかった。。特にはない。",,,,,,,,,,,,,,
gold_0071,同じ物を置いている店ばかりで代わり映えがしない。色々なお店の水ようかんが一度に購入できたら嬉しい。値段が高い,,,,,,,,,,,,,,
gold_0072,足湯からのカメハメハ大農場カフェがとても良かったです。,,,,,,,,,,,,,,
gold_0073,20:0.以降の小松空港到着の際にレンタカー屋さんが営業していないのが不便。。レストランが少ないが、全体的に清潔。パーキングの管理も行き届いている。。レストランが少ない。5年前までは快適。。パーキングのキャパが大きく便利。お土産も迷うほど多い。温泉、グルメ、ドライブ、写真撮影、いずれもトップクラス。。航空祭を2日間開催してほしい。海外では2日〜3日開催している。これまで知らなかった石川県、小松空港周辺の良い所も航空祭キッカケで広まり、更に有名なイベントになると思います。航空祭は有料化とし、県と一体となって運営。ボランティアを募り交通整理、ゴミの対応など管理。。レストランが少ない。日本らしく綺麗な景色、美味しい和食。道路も綺麗。,,,,,,,,,,,,,,
gold_0074,堤防釣り禁止になってしまったところ多いのでまた復活してほしい。。少し高く感じる。,,,,,,,,,,,,,,
gold_0075,海鮮丼が高い　インバウンド。シャワールーム狭かった。ベッドライトがない。,,,,,,,,,,,,,,
gold_0076,見どころも多く、見学が良かった。買いたいもの、食べたいものが多くてよい。地域色が濃い,,,,,,,,,,,,,,
gold_0077,ホテル側の観光スポットを教えてくれた。清潔感がありスタッフの対応も良かった。良かった。特になし。アメニティの充実。美味しい食べ物,,,,,,,,,,,,,,
gold_0078,電車の本数が少ない。ICOCAが使えない。,,,,,,,,,,,,,,
gold_0079,毎年の定宿。気に入っている。年々賑わいが増加し、北陸新幹線開通前の金沢が懐かしい。。居心地良し。金沢百番街,,,,,,,,,,,,,,
gold_0080,"観光案内所が閉まるのが早すぎる。もう少し、観光客の対応の満足度を上げるべき。カイリューイベのスタンプ対応が、観光案内所が閉まっていたので対応出来ず
芦原温泉駅着17:58。あわら湯のまちへダイレクト対応にして欲しい
芦原温泉発あわら湯のまち着のバス発着時間が早すぎる。地酒しかないと思います。イベント対応がひどすぎる",,,,,,,,,,,,,,
gold_0081,綺麗に整備されていたから。バリアフリーが進んでいなくて、階段が急で足が健常な私でも危険を感じた。,,,,,,,,,,,,,,
gold_0082,午後から訪れたのでスイカやメロンは売り切れていたが､珍しい｢夏の天使｣の間引きスイカが販売されていた｡。このHAPPYNESSキャンペーンのチラシが「ぐるすた」の設置場所に置かれていて､分からず店員に訊ねると｢あっちです｣と指先で案内されただけだった｡。やはり｢おもてなし｣の面では福井県は足りないと思います｡北陸新幹線延伸で県外のお客様もみえるので､より丁寧な接客が必要だと思います｡,,,,,,,,,,,,,,
gold_0083,"海産物が新鮮で魅力的です。私はもの作りが
好きなので、低価格で簡単に参加できる物作り体験がいいです。お土産は福井ならではの限定品が魅力的です。",,,,,,,,,,,,,,
gold_0084,和紙について分かりやすく丁寧に解説して下さり、とても勉強になりました。次回来た時には紙漉き体験を是非したいです。,,,,,,,,,,,,,,
gold_0085,キャンプやBBQが出来る豪華な施設,,,,,,,,,,,,,,
gold_0086,バスの運転手の方の態度が悪くて驚いた。。家族のニーズにマッチしたから。。期待していたものとは異なった。。あまりに綺麗で驚いたから。。街並み,,,,,,,,,,,,,,
gold_0087,品揃えがよい。新幹線が早く全通してほしい。ほしい商品があったから,,,,,,,,,,,,,,
gold_0088,近隣にスーパーやコンビニがない,,,,,,,,,,,,,,
gold_0089,お蕎麦が美味しかった。食べ歩きがあるといい。海鮮,,,,,,,,,,,,,,
gold_0090,街並みが綺麗で歩きやすい,,,,,,,,,,,,,,
gold_0091,お土産で買いたいものが少なかった。案内が目立たなかったので行き過ぎてしまった。恐竜関連のお土産バリエーションが豊富だと子供達含めて買い物が楽しめます。カフェ・マーレは写真映えするスポットだと思ったので若者が写真目的でも来たいと思えるようなスポット作りがあればなお良いと思います,,,,,,,,,,,,,,
gold_0092,"泰澄の杜はよかった。越知山に行って、泰澄の杜でお風呂に入っただけなので特になし。泰澄の杜のソフトクリームが
ソフトクリームではなくカップアイスだった",,,,,,,,,,,,,,
gold_0093,お風呂が狭い。トイレが狭い。金沢駅周辺にお土産屋さんを増やてほしい。接客が丁寧。このえいちば,,,,,,,,,,,,,,
gold_0094,検索したよりタクシー料金が高かった。カフェが施設内にあるともっとゆっくり出来そう。伝統芸能の体験が土日に偏っていて平日プランが少ないことが残念です。実演説明がすごく判りやすく楽しかった。この施設(大野からくり記念館),,,,,,,,,,,,,,
gold_0095,美味しそばを食べたから,,,,,,,,,,,,,,
gold_0096,"自家用車で訪れましたが、息子（高1）が鉄道好きなので福井駅から在来線を堪能していましたが、ハッピーラインの本数が少なすぎて困っておりました。。何年も前は、愛知に住む私達は、福井というと、勝山の恐竜か敦賀か、水晶浜かというイメージでしたが、福井県！！とても楽しむことができました。

芦原温泉駅も新幹線が通ることで活気もあり、とても綺麗でした。

またぜひ訪れたいと思います！！。子供が楽しめるアミューズメントがあり風呂桶の中に入ったように写真が撮れたり、桶で福井の名産などが現れるゲーム？！があったり、ポケフタ（少しわかりにくかったですが）を探したり、楽しかったです！",,,,,,,,,,,,,,
