outcome,month,estimate,ci_low,ci_high,p_value
transport_satisfaction,2023-09,-0.5200519928502879,-0.810672026497206,-0.22943195920336984,0.0004527280665753297
transport_satisfaction,2023-10,-0.007078404977623218,-0.1737270807290943,0.15957027077384786,0.9336531545125657
transport_satisfaction,2023-11,-0.04437040479587404,-0.1976488698534296,0.10890806026168154,0.570468178054113
transport_satisfaction,2023-12,0.03195206717610303,-0.117683156735198,0.18158729108740404,0.6755690822207383
transport_satisfaction,2024-01,0.14157294709988152,-0.03234847162580723,0.3154943658255703,0.11061813113812226
transport_satisfaction,2024-02,0.0,0.0,0.0,
transport_satisfaction,2024-03,0.0030454161902373827,-0.13771763368386264,0.1438084660643374,0.9661766981020727
transport_satisfaction,2024-04,0.03535820784957147,-0.11682282155207624,0.18753923725121918,0.6488329659624693
transport_satisfaction,2024-05,0.061879206730348905,-0.12029908354340424,0.24405749700410206,0.5055855775112201
transport_satisfaction,2024-06,0.008000510772160583,-0.15808316224668506,0.1740841837910062,0.9247798691062098
transport_satisfaction,2024-07,0.1841513600020067,0.02943609900519978,0.3388666209988136,0.01965515856597314
transport_satisfaction,2024-08,0.08839842582058924,-0.05029842788641786,0.22709527952759634,0.21159820347115743
transport_satisfaction,2024-09,0.2544885519004986,0.10459023683097754,0.4043868669700197,0.0008762531160163461
transport_satisfaction,2024-10,0.08784212265304825,-0.06405247371718334,0.23973671902327984,0.2570185115408201
transport_satisfaction,2024-11,0.12768692436841053,-0.030957503941536568,0.28633135267835763,0.11468025051508812
transport_satisfaction,2024-12,0.21579083973939622,0.04474573132627396,0.3868359481525185,0.013409877536792753
transport_satisfaction,2025-01,0.28406835232076305,0.12008488723380767,0.44805181740771843,0.0006856767146379665
transport_satisfaction,2025-02,0.1410817556770985,-0.031951985967439894,0.3141154973216369,0.1100336643730803
transport_satisfaction,2025-03,0.07908731966127736,-0.07686494281331563,0.23503958213587034,0.32024862490154327
transport_satisfaction,2025-04,0.0807492062445175,-0.09989792596032875,0.2613963384493637,0.3809739169803694
transport_satisfaction,2025-05,0.0658918373833957,-0.10858859482431378,0.2403722695911052,0.4591952954112921
transport_satisfaction,2025-06,0.16363739004943612,-0.01038007022684867,0.3376548503257209,0.06532128199875734
transport_satisfaction,2025-07,0.15588585786646736,0.001994303855762436,0.3097774118771723,0.047104049002055746
transport_satisfaction,2025-08,0.09283406526310539,-0.047124288035203604,0.2327924185614144,0.1935873412591126
transport_satisfaction,2025-09,0.07842224083764388,-0.057174168244300716,0.21401864991958847,0.2569850337072004
transport_satisfaction,2025-10,0.10266289357442024,-0.031037920538182606,0.23636370768702308,0.13233205952885016
transport_satisfaction,2025-11,0.09974909621312353,-0.030496360001677075,0.22999455242792413,0.13334323730335565
transport_satisfaction,2025-12,0.10963511331343842,-0.02876224196730756,0.2480324685941844,0.12050984814477361
transport_satisfaction,2026-01,0.040029990529886206,-0.1070770497146373,0.1871370307744097,0.5938016734376128
transport_satisfaction,2026-02,0.06824205595680377,-0.07003378183434689,0.20651789374795443,0.3334022012994685
transport_satisfaction,2026-03,0.032249390056905636,-0.09965956361040601,0.16415834372421728,0.6318132201753685
transport_satisfaction,2026-04,0.055560393782884354,-0.0802890108642424,0.1914097984300111,0.42278655839163604
transport_satisfaction,2026-05,0.06992159049478142,-0.05815183484347877,0.1979950158330416,0.2846009139847706
transport_satisfaction,2026-06,0.15401190488000172,-0.02896779164204588,0.3369916014020493,0.09900858072325362
product_service_sat,2023-09,-0.34741892446648237,-0.5933240857795459,-0.10151376315341887,0.00562165736199312
product_service_sat,2023-10,-0.004779446032462768,-0.1249406569364136,0.11538176487148805,0.9378613670202182
product_service_sat,2023-11,-0.022279247335012374,-0.13025459306509882,0.08569609839507406,0.6859097987331414
product_service_sat,2023-12,-0.12607431552831636,-0.2264403404674969,-0.025708290589135818,0.013816480335389753
product_service_sat,2024-01,0.00520637981570116,-0.1123836220326252,0.12279638166402751,0.9308473549002534
product_service_sat,2024-02,0.0,0.0,0.0,
product_service_sat,2024-03,-0.06358076268664861,-0.16116708063379726,0.034005555260500045,0.2016084809321088
product_service_sat,2024-04,-0.049313763072141796,-0.15160565352121427,0.052978127376930674,0.34472194956662683
product_service_sat,2024-05,0.016103904634405836,-0.11028131161510929,0.14248912088392096,0.8027906916921316
product_service_sat,2024-06,-0.051313029413677616,-0.16071163217047923,0.058085573343124,0.3579312496380995
product_service_sat,2024-07,-0.08485140839963447,-0.18729086960175384,0.01758805280248489,0.10449249038885444
product_service_sat,2024-08,-0.16378038277597387,-0.25481088208794306,-0.07274988346400468,0.0004213603404341936
product_service_sat,2024-09,-0.09190139642410654,-0.1885880814637222,0.004785288615509128,0.06246789363257362
product_service_sat,2024-10,-0.10540019622088857,-0.20700045885054966,-0.003799933591227489,0.042025428683899184
product_service_sat,2024-11,-0.14239803725207376,-0.24010070410729656,-0.04469537039685095,0.004282384188490616
product_service_sat,2024-12,-0.03346509709266165,-0.14901356153047157,0.08208336734514826,0.5702767679405498
product_service_sat,2025-01,-0.023499836570699616,-0.13416507994416946,0.08716540680277021,0.677263930631395
product_service_sat,2025-02,-0.11133868412615767,-0.22755056360293416,0.004873195350618809,0.06041189395771986
product_service_sat,2025-03,-0.014950007781007515,-0.12479530324402102,0.094895287682006,0.789659941646353
product_service_sat,2025-04,-0.06757687542480309,-0.188042507952114,0.052888757102507816,0.27156349965152715
product_service_sat,2025-05,-0.07594342206960292,-0.18693632230640295,0.0350494781671971,0.1799061403874772
product_service_sat,2025-06,-0.08764880952378461,-0.21831107338483158,0.04301345433726235,0.18859316832848627
product_service_sat,2025-07,-0.04091769772880321,-0.14598970741527503,0.06415431195766863,0.44530862594894083
product_service_sat,2025-08,-0.04327809632755175,-0.13487531259816288,0.048319119943059374,0.35442051850325207
product_service_sat,2025-09,-0.061569939108150055,-0.15361038591076592,0.03047050769446582,0.18982165616324975
product_service_sat,2025-10,-0.11800175463093607,-0.20879701261941447,-0.027206496642457667,0.010857230008857476
product_service_sat,2025-11,-0.119209174736656,-0.2073099663293842,-0.031108383143927804,0.008001011371370194
product_service_sat,2025-12,-0.08249909983926958,-0.17588651531734706,0.010888315638807905,0.08337225308547225
product_service_sat,2026-01,-0.09060656386280708,-0.18892423946567233,0.007711111740058188,0.0708804090689366
product_service_sat,2026-02,-0.09444113431616419,-0.1885173649256479,-0.0003649037066804778,0.0491179592914222
product_service_sat,2026-03,-0.03064783163699203,-0.11945265027078794,0.05815698699680388,0.49877909168654666
product_service_sat,2026-04,-0.037520269699689024,-0.1306138696286704,0.05557333022929234,0.42956269057708707
product_service_sat,2026-05,-0.052003913732634466,-0.1395285672012457,0.035520739735976775,0.24420599249208985
product_service_sat,2026-06,-0.04833269283325592,-0.17069817746001187,0.07403279179350002,0.4388367899647092
nps,2023-09,-0.41433842738507043,-1.0738132762056303,0.24513642143548942,0.2181670240936715
nps,2023-10,-0.2809822205304198,-0.5557893351738746,-0.0061751058869650155,0.04506944656746939
nps,2023-11,0.05969852688653294,-0.19202868934698836,0.3114257431200542,0.6420628734818676
nps,2023-12,-0.15903731562449702,-0.3999801442662896,0.08190551301729551,0.19576953373659334
nps,2024-01,0.2741974020588063,-0.011560577183192533,0.5599553813008051,0.06001654968381275
nps,2024-02,0.0,0.0,0.0,
nps,2024-03,0.2443010038395223,0.01500737966282295,0.47359462801622165,0.036775777429615394
nps,2024-04,0.4370206765786311,0.18114791516963463,0.6928934379876275,0.0008153166548842814
nps,2024-05,0.6945912930328254,0.37127025515790524,1.0179123309077456,2.5469908541620886e-05
nps,2024-06,0.5161434935724829,0.23955767393901184,0.792729313205954,0.0002546512654272297
nps,2024-07,0.4859407496690263,0.23197491399509124,0.7399065853429614,0.00017668334402899414
nps,2024-08,0.3895993054974628,0.16385443675841602,0.6153441742365096,0.0007180774700077449
nps,2024-09,0.5306465733004705,0.29014625296110463,0.7711468936398364,1.5286512347903946e-05
nps,2024-10,0.5727536488004206,0.32049599576503107,0.8250113018358101,8.582280232171317e-06
nps,2024-11,0.48011847289412374,0.24009855171831587,0.7201383940699316,8.83397506091546e-05
nps,2024-12,0.6486950227606495,0.37215697053681357,0.9252330749844855,4.273296578970003e-06
nps,2025-01,0.6176503552694924,0.3418543489013497,0.8934463616376351,1.1367622287122332e-05
nps,2025-02,0.3047939211032273,0.018132551363987115,0.5914552908424675,0.03716562109983028
nps,2025-03,0.6813438717239245,0.411026785561437,0.951660957886412,7.805879825111829e-07
nps,2025-04,0.525817993281294,0.22356106619912802,0.8280749203634599,0.000650510328604306
nps,2025-05,0.37885383223945074,0.1142350980553073,0.6434725664235942,0.005014910539814813
nps,2025-06,0.3413265972534967,0.03753085829989028,0.645122336207103,0.027658421971873754
nps,2025-07,0.6014870903079838,0.3390103668417766,0.863963813774191,7.075009250103621e-06
nps,2025-08,0.5096475685570986,0.2902314745251897,0.7290636625890075,5.3013182114516605e-06
nps,2025-09,0.6109454570311911,0.3856609335862389,0.8362299804761433,1.065433769090511e-07
nps,2025-10,0.29830409525243173,0.07611516487580028,0.5204930256290632,0.008503689289793405
nps,2025-11,0.47779876072868904,0.2650466301431136,0.6905508913142645,1.0741225958017397e-05
nps,2025-12,0.5338743711402246,0.3080098080498458,0.7597389342306035,3.6083644048665483e-06
nps,2026-01,0.6838244902989525,0.43998497862517266,0.9276640019727325,3.873355908120476e-08
nps,2026-02,0.5904706768456949,0.3603899340488615,0.8205514196425283,4.905340488734435e-07
nps,2026-03,0.709231380204359,0.4952798005244527,0.9231829598842654,8.187501858156415e-11
nps,2026-04,0.5627619844812086,0.3366503826873132,0.7888735862751041,1.0711690174477308e-06
nps,2026-05,0.6655106322298057,0.45443226785169377,0.8765889966079176,6.426998356684075e-10
nps,2026-06,0.48373682122513095,0.1779853634742639,0.789488278975998,0.001929290616017955
revisit_intent,2023-09,0.0680406615238956,-0.1542632528062442,0.2903445758540354,0.5485814934006601
revisit_intent,2023-10,0.09134163370822787,-0.0014171053922356486,0.1841003728086914,0.0536042385301958
revisit_intent,2023-11,0.10952213542987248,0.02816674662945115,0.1908775242302938,0.008326389682961257
revisit_intent,2023-12,0.14274036732669484,0.06259043039007384,0.22289030426331585,0.0004820585412561263
revisit_intent,2024-01,0.04819271996468257,-0.040771561199967575,0.1371570011293327,0.288358535258346
revisit_intent,2024-02,0.0,0.0,0.0,
revisit_intent,2024-03,0.0033159701887190774,-0.07077963429858136,0.07741157467601953,0.9301044180724776
revisit_intent,2024-04,0.06561808777317828,-0.012359734940507905,0.14359591048686446,0.09908549177010845
revisit_intent,2024-05,0.026021915565554866,-0.0698206849234399,0.12186451605454965,0.5946266080605291
revisit_intent,2024-06,0.03843972061800475,-0.047428630487210764,0.12430807172322025,0.3802720896266384
revisit_intent,2024-07,0.051005860698567086,-0.027856100968342866,0.12986782236547703,0.20492168000647537
revisit_intent,2024-08,0.018361426657585268,-0.05299184171070272,0.08971469502587325,0.6140084162790129
revisit_intent,2024-09,0.14550171497972159,0.06988312451656882,0.22112030544287437,0.00016241882392788978
revisit_intent,2024-10,0.1473532878970582,0.06777018570920376,0.22693639008491265,0.00028452041767690274
revisit_intent,2024-11,0.0935519834009702,0.016210406789743295,0.17089356001219713,0.017751428283469
revisit_intent,2024-12,0.053388409570935665,-0.03181949240517468,0.13859631154704602,0.219429097935128
revisit_intent,2025-01,0.11447582514676702,0.02625313464189999,0.20269851565163405,0.010984038384222768
revisit_intent,2025-02,0.0616408196715595,-0.030481743368533334,0.15376338271165235,0.18970705404806332
revisit_intent,2025-03,0.07175455662989594,-0.013293715123278121,0.15680282838307,0.09820755871504408
revisit_intent,2025-04,-0.03226883520333674,-0.1247314252531517,0.06019375484647823,0.4939659924492025
revisit_intent,2025-05,0.08290640583750421,-0.0028554101532234505,0.16866822182823188,0.058131142620936466
revisit_intent,2025-06,0.20843259559276064,0.10055663365557768,0.3163085575299436,0.00015251058029380448
revisit_intent,2025-07,0.056264410444557905,-0.02710163078508933,0.13963045167420512,0.1859034185067313
revisit_intent,2025-08,0.09598599502690955,0.02335826134175316,0.16861372871206592,0.0095886667545581
revisit_intent,2025-09,0.14671861334391056,0.07278134568531132,0.22065588100250982,0.00010053947827489916
revisit_intent,2025-10,0.05427066531667742,-0.018526059140773647,0.1270673897741285,0.14396819241306072
revisit_intent,2025-11,0.0865021427263376,0.016755970020438563,0.15624831543223666,0.015064283616825125
revisit_intent,2025-12,0.06939280427555942,-0.004463155585889736,0.1432487641370086,0.06554505555281376
revisit_intent,2026-01,0.007170216792317959,-0.07219213749057345,0.08653257107520936,0.8594467293415935
revisit_intent,2026-02,0.0389943120402953,-0.036712503235469,0.1147011273160596,0.3127259287160319
revisit_intent,2026-03,0.08480438455865486,0.01496612382543211,0.1546426452918776,0.017313661346022743
revisit_intent,2026-04,0.07898816258598493,0.005080153457516057,0.1528961717144538,0.03619905675234403
revisit_intent,2026-05,0.09336636579688523,0.024600433393049542,0.16213229820072092,0.00778801312815597
revisit_intent,2026-06,0.046303966847728084,-0.054594168535464144,0.1472021022309203,0.36840626513444197
